+-MPH --Mile--   -Marathon-   --Lap-- ---+-MPH --Mile --  -Marathon-  --Lap--  ---+
| 12   05 00       2 11 00    01 15      | 4.6  13 00       5 40 36    03 15      |
|      05 10       2 15 22    01 17      |      13 10       5 44 58    03 17      |
|      05 20       2 19 44    01 20      |      13 20       5 49 20    03 20      |
|      05 30       2 24 06    01 22      |      13 30       5 53 42    03 22      |
|      05 40       2 28 28    01 25      |      13 40       5 58 04    03 25      |
|      05 50       2 32 50    01 27      |      13 50       6 02 26    03 27      |
| 10   06 00       2 37 12    01 30      |      14 00       6 06 48    03 30      |
|--------------------------------------- | ---------------------------------------|
| 9.7  06 10       2 41 34    01 32      | 4.3  14 10       6 11 10    03 32      |
|      06 20       2 45 56    01 35      |      14 20       6 15 32    03 35      |
|      06 30       2 50 18    01 37      |      14 30       6 19 54    03 37      |
|      06 40       2 54 40    01 40      |      14 40       6 24 16    03 40      |
|      06 50       2 59 02    01 42      |      14 50       6 28 38    03 42      |
|      07 00       3 03 24    01 45      | 4.0  15 00       6 33 00    03 45      |
|--------------------------------------- | ---------------------------------------|
| 8.4  07 10       3 07 46    01 47      | 3.9  15 10       6 37 22    03 47      |
|      07 20       3 12 08    01 50      |      15 20       6 41 44    03 50      |
|      07 30       3 16 30    01 52      |      15 30       6 46 06    03 52      |
|      07 40       3 20 52    01 55      |      15 40       6 50 28    03 55      |
|      07 50       3 25 14    01 57      |      15 50       6 54 50    03 57      |
|      08 00       3 29 36    02 00      |      16 00       6 59 12    04 00      |
|--------------------------------------- | ---------------------------------------|
| 7.3  08 10       3 33 58    02 02      | 3.7  16 10       7 03 34    04 02      |
|      08 20       3 38 20    02 05      |      16 20       7 07 56    04 05      |
|      08 30       3 42 42    02 07      |      16 30       7 12 18    04 07      |
|      08 40       3 47 04    02 10      |      16 40       7 16 40    04 10      |
|      08 50       3 51 26    02 12      |      16 50       7 21 02    04 12      |
|      09 00       3 55 48    02 15      |      17 00       7 25 24    04 15      |
|--------------------------------------- | ---------------------------------------|
| 6.5  09 10       4 00 10    02 17      | 3.5  17 10       7 29 46    04 17      |
|      09 20       4 04 32    02 20      |      17 20       7 34 08    04 20      |
|      09 30       4 08 54    02 22      |      17 30       7 38 30    04 22      |
|      09 40       4 13 16    02 25      |      17 40       7 42 52    04 25      |
|      09 50       4 17 38    02 27      |      17 50       7 47 14    04 27      |
| 6.0  10 00       4 22 00    02 30      |      18 00       7 51 36    04 30      |
|--------------------------------------- | ---------------------------------------|
| 5.9  10 10       4 26 22    02 32      | 3.3  18 10       7 55 58    04 32      |
|      10 20       4 30 44    02 35      |      18 20       8 00 20    04 35      |
|      10 30       4 35 06    02 37      |      18 30       8 04 42    04 37      |
|      10 40       4 39 28    02 40      |      18 40       8 09 04    04 40      |
|      10 50       4 43 50    02 42      |      18 50       8 13 26    04 42      |
|      11 00       4 48 12    02 45      |      19 00       8 17 48    04 45      |
|--------------------------------------- | ---------------------------------------|
| 5.4  11 10       4 52 34    02 47      | 3.1  19 10       8 22 10    04 47      |
|      11 20       4 56 56    02 50      |      19 20       8 26 32    04 50      |
|      11 30       5 01 18    02 52      |      19 30       8 30 54    04 52      |
|      11 40       5 05 40    02 55      |      19 40       8 35 16    04 55      |
|      11 50       5 10 02    02 57      |      19 50       8 39 38    04 57      |
| 5.0  12 00       5 14 24    03 00      | 3.0  20 00       8 44 00    05 00      |
|--------------------------------------- | ---------------------------------------|
| 4.9  12 10       5 18 46    03 02      |      20 10       8 48 22    05 02      |
|      12 20       5 23 08    03 05      |      20 20       8 52 44    05 05      |
|      12 30       5 27 30    03 07      |      20 30       8 57 06    05 07      |
|      12 40       5 31 52    03 10      |      20 40       9 01 28    05 10      |
|      12 50       5 36 14    03 12      |      20 50       9 05 50    05 12      |
|      13 00       5 40 36    03 15      | 2.9  21 00       9 10 12    05 15      |
+--------------------------------------- + ---------------------------------------+
